phase,operation,iteration,count,layout,elapsed_ms,cpu_ms,rss_kib,process_hwm_kib,local_actions,remote_actions,merkle_queries,pulled_bytes,pushed_bytes,conflicts,roots_equal,content_verified,digest
setup,seed,0,1000,flat,413.404,620.000,17888,17888,0,0,0,0,0,0,true,false,7da470c98e9ce65856199630fe689805057f4d958ff00ee841f9ffad24666fc7
initial,noop,0,1000,flat,282.332,670.000,37244,37244,0,0,1,0,0,0,true,false,7da470c98e9ce65856199630fe689805057f4d958ff00ee841f9ffad24666fc7
warmup,edit,1,1000,flat,391.141,870.000,43176,43176,1,0,2,1024,0,0,true,false,7ae2a09e7d514465f01ed89e5ef23f2f98cc7d5343a34553aa969990e1bb1120
warmup,noop,1,1000,flat,277.857,640.000,47188,47188,0,0,1,0,0,0,true,false,7ae2a09e7d514465f01ed89e5ef23f2f98cc7d5343a34553aa969990e1bb1120
sample,edit,1,1000,flat,386.342,870.000,47244,47244,1,0,2,1024,0,0,true,false,fdfa882909314e27c5588ba223c47f0b8c6b1566266e037dc6266f4b755e4e7a
sample,noop,1,1000,flat,283.738,700.000,48008,48008,0,0,1,0,0,0,true,false,fdfa882909314e27c5588ba223c47f0b8c6b1566266e037dc6266f4b755e4e7a
sample,edit,2,1000,flat,369.942,820.000,49124,49124,1,0,2,1024,0,0,true,false,9973a74fb0293bd68f3ad121f5cefe3b16c81630171a6cd375de418c29f84470
sample,noop,2,1000,flat,309.353,750.000,49172,49172,0,0,1,0,0,0,true,false,9973a74fb0293bd68f3ad121f5cefe3b16c81630171a6cd375de418c29f84470
sample,edit,3,1000,flat,383.522,880.000,49244,49244,1,0,2,1024,0,0,true,false,857fcde578f195b3cdd5d5c803a265e73902642152836232cd1ba262082620c7
sample,noop,3,1000,flat,274.981,660.000,49284,49284,0,0,1,0,0,0,true,false,857fcde578f195b3cdd5d5c803a265e73902642152836232cd1ba262082620c7
sample,edit,4,1000,flat,407.650,910.000,49976,49976,1,0,2,1024,0,0,true,false,f116fb8cfcdf07a084d1f08b6b6eadd61fc14d7224eb6b760d6259b1826c8179
sample,noop,4,1000,flat,292.054,730.000,50964,50964,0,0,1,0,0,0,true,false,f116fb8cfcdf07a084d1f08b6b6eadd61fc14d7224eb6b760d6259b1826c8179
sample,edit,5,1000,flat,386.284,870.000,50976,50976,1,0,2,1024,0,0,true,false,6bd8b58eece7777f61d4bea46ce87db5f90c2738b0b0ddbcd23039d3f267dbc3
sample,noop,5,1000,flat,287.272,670.000,50996,50996,0,0,1,0,0,0,true,false,6bd8b58eece7777f61d4bea46ce87db5f90c2738b0b0ddbcd23039d3f267dbc3
sample,edit,6,1000,flat,366.235,830.000,51012,51012,1,0,2,1024,0,0,true,false,e1d4a50acefa0b74cc24d625423017bf1680cf7a49276ea0f321e4cc67875fca
sample,noop,6,1000,flat,280.257,660.000,51052,51052,0,0,1,0,0,0,true,false,e1d4a50acefa0b74cc24d625423017bf1680cf7a49276ea0f321e4cc67875fca
sample,edit,7,1000,flat,365.974,840.000,51064,51064,1,0,2,1024,0,0,true,false,cc0bdba6e144edd70dbc111c22db201092865cda30d61c599590cc7005567553
sample,noop,7,1000,flat,279.080,680.000,51076,51076,0,0,1,0,0,0,true,false,cc0bdba6e144edd70dbc111c22db201092865cda30d61c599590cc7005567553
validation,filesystem,0,1000,flat,41.718,40.000,51076,51076,0,0,0,0,0,0,true,true,3b74de5946e662ecfe43d01e71289efb70cb62c071378661e80fbc0d8fd2c7f7
