phase,sample,records,queries,returned_records,elapsed_ms,root_hash
warmup,0,1000,999,999,16.360639,51da8f97f36138276285c58b1b65beb46e6ffae56131f92a6b171df5bb74e21a
measured,1,1000,999,999,16.987474,51da8f97f36138276285c58b1b65beb46e6ffae56131f92a6b171df5bb74e21a
measured,2,1000,999,999,15.524445,51da8f97f36138276285c58b1b65beb46e6ffae56131f92a6b171df5bb74e21a
measured,3,1000,999,999,16.108558,51da8f97f36138276285c58b1b65beb46e6ffae56131f92a6b171df5bb74e21a
measured,4,1000,999,999,15.430564,51da8f97f36138276285c58b1b65beb46e6ffae56131f92a6b171df5bb74e21a
measured,5,1000,999,999,15.807072,51da8f97f36138276285c58b1b65beb46e6ffae56131f92a6b171df5bb74e21a
measured,6,1000,999,999,15.478314,51da8f97f36138276285c58b1b65beb46e6ffae56131f92a6b171df5bb74e21a
measured,7,1000,999,999,15.861757,51da8f97f36138276285c58b1b65beb46e6ffae56131f92a6b171df5bb74e21a
