phase,sample,records,queries,returned_records,elapsed_ms,root_hash
warmup,0,4000,3999,3999,299.747206,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,1,4000,3999,3999,305.857086,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,2,4000,3999,3999,306.507319,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,3,4000,3999,3999,318.171423,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,4,4000,3999,3999,300.878698,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,5,4000,3999,3999,312.424768,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,6,4000,3999,3999,306.324552,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,7,4000,3999,3999,318.026500,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
