phase,operation,iteration,count,layout,elapsed_ms,cpu_ms,rss_kib,process_hwm_kib,local_actions,remote_actions,merkle_queries,pulled_bytes,pushed_bytes,conflicts,roots_equal,content_verified,digest
setup,seed,0,1000,flat,422.747,640.000,17712,17712,0,0,0,0,0,0,true,false,7da470c98e9ce65856199630fe689805057f4d958ff00ee841f9ffad24666fc7
initial,noop,0,1000,flat,277.931,640.000,36752,36752,0,0,1,0,0,0,true,false,7da470c98e9ce65856199630fe689805057f4d958ff00ee841f9ffad24666fc7
warmup,edit,1,1000,flat,380.586,820.000,42268,42268,1,0,2,1024,0,0,true,false,7ae2a09e7d514465f01ed89e5ef23f2f98cc7d5343a34553aa969990e1bb1120
warmup,noop,1,1000,flat,266.636,640.000,46276,46276,0,0,1,0,0,0,true,false,7ae2a09e7d514465f01ed89e5ef23f2f98cc7d5343a34553aa969990e1bb1120
sample,edit,1,1000,flat,440.062,840.000,46328,46328,1,0,2,1024,0,0,true,false,fdfa882909314e27c5588ba223c47f0b8c6b1566266e037dc6266f4b755e4e7a
sample,noop,1,1000,flat,303.971,690.000,47700,47700,0,0,1,0,0,0,true,false,fdfa882909314e27c5588ba223c47f0b8c6b1566266e037dc6266f4b755e4e7a
sample,edit,2,1000,flat,386.184,870.000,48428,48428,1,0,2,1024,0,0,true,false,9973a74fb0293bd68f3ad121f5cefe3b16c81630171a6cd375de418c29f84470
sample,noop,2,1000,flat,271.823,650.000,48824,48824,0,0,1,0,0,0,true,false,9973a74fb0293bd68f3ad121f5cefe3b16c81630171a6cd375de418c29f84470
sample,edit,3,1000,flat,393.309,890.000,50136,50136,1,0,2,1024,0,0,true,false,857fcde578f195b3cdd5d5c803a265e73902642152836232cd1ba262082620c7
sample,noop,3,1000,flat,285.416,670.000,50172,50172,0,0,1,0,0,0,true,false,857fcde578f195b3cdd5d5c803a265e73902642152836232cd1ba262082620c7
sample,edit,4,1000,flat,371.562,790.000,50236,50236,1,0,2,1024,0,0,true,false,f116fb8cfcdf07a084d1f08b6b6eadd61fc14d7224eb6b760d6259b1826c8179
sample,noop,4,1000,flat,264.441,610.000,50284,50284,0,0,1,0,0,0,true,false,f116fb8cfcdf07a084d1f08b6b6eadd61fc14d7224eb6b760d6259b1826c8179
sample,edit,5,1000,flat,405.335,880.000,50376,50376,1,0,2,1024,0,0,true,false,6bd8b58eece7777f61d4bea46ce87db5f90c2738b0b0ddbcd23039d3f267dbc3
sample,noop,5,1000,flat,287.712,690.000,50396,50396,0,0,1,0,0,0,true,false,6bd8b58eece7777f61d4bea46ce87db5f90c2738b0b0ddbcd23039d3f267dbc3
sample,edit,6,1000,flat,381.292,850.000,50404,50404,1,0,2,1024,0,0,true,false,e1d4a50acefa0b74cc24d625423017bf1680cf7a49276ea0f321e4cc67875fca
sample,noop,6,1000,flat,271.519,620.000,50476,50476,0,0,1,0,0,0,true,false,e1d4a50acefa0b74cc24d625423017bf1680cf7a49276ea0f321e4cc67875fca
sample,edit,7,1000,flat,405.223,930.000,50496,50496,1,0,2,1024,0,0,true,false,cc0bdba6e144edd70dbc111c22db201092865cda30d61c599590cc7005567553
sample,noop,7,1000,flat,298.606,740.000,50516,50516,0,0,1,0,0,0,true,false,cc0bdba6e144edd70dbc111c22db201092865cda30d61c599590cc7005567553
validation,filesystem,0,1000,flat,43.275,50.000,50516,50516,0,0,0,0,0,0,true,true,3b74de5946e662ecfe43d01e71289efb70cb62c071378661e80fbc0d8fd2c7f7
