phase,sample,records,queries,returned_records,elapsed_ms,root_hash
warmup,0,4000,3999,3999,4.572873,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,1,4000,3999,3999,4.588768,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,2,4000,3999,3999,4.501745,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,3,4000,3999,3999,4.226763,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,4,4000,3999,3999,4.200774,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,5,4000,3999,3999,4.152105,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,6,4000,3999,3999,4.141262,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
measured,7,4000,3999,3999,4.163075,c9e2e0f9c55a9e79cec29713e3d59dadacd1034de36b3a33cdd58292e8eb9443
